,Unnamed: 0,YEAR,State_code,State,TopicType,Type of smoking,MeasureDesc,DataSource,Response,Data_Value_Unit,Data_Value_Type,pct of young people,Data_Value_Footnote_Symbol,Data_Value_Footnote,Data_Value_Std_Err,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Gender,Race,Age,Education,GeoLocation,TopicTypeId,TopicId,MeasureId,StratificationID1,StratificationID2,StratificationID3,StratificationID4,SubMeasureID,DisplayOrder,Period
0,0,2004,OH,Ohio,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,32.2,,,3.2,25.8,38.5,1377.0,Overall,All Races,All Ages,Middle School,"(40.060210141, -82.404260056)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,1.0
1,1,2008,AL,Alabama,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,47.8,,,2.9,42.1,53.5,654.0,Female,All Races,All Ages,High School,"(32.840571122, -86.631860762)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8,2.0
2,2,2015,WV,West Virginia,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,12.7,,,1.9,9.0,16.4,781.0,Male,All Races,All Ages,High School,"(38.665510202, -80.712640135)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS12,12,3.0
3,3,2005,IL,Illinois,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,28.5,,,2.2,24.2,32.8,1323.0,Overall,All Races,All Ages,Middle School,"(40.485010283, -88.997710178)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,2.0
4,4,2005,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,20.5,,,2.3,16.0,25.1,973.0,Male,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,2EDU,YTS11,11,2.0
5,5,2009,CT,Connecticut,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Frequent,%,Percentage,1.2,,,0.3,0.6,1.8,2214.0,Overall,All Races,All Ages,High School,"(41.56266102, -72.649840952)",BEH,151BEH,169USS,1GEN,8AGE,6RAC,2EDU,YTS12,12,2.0
6,6,2001,ID,Idaho,Tobacco Use – Survey Data,Smokeless Tobacco Use,User Status,YTS,Ever,%,Percentage,15.1,,,1.2,12.7,17.6,926.0,Male,All Races,All Ages,Middle School,"(43.682630005, -114.363730042)",BEH,151BEH,169USS,2GEN,8AGE,6RAC,1EDU,YTS11,11,1.0
7,7,2004,VT,Vermont,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Frequent,%,Percentage,2.5,,,0.7,1.3,3.8,847.0,Male,All Races,All Ages,Middle School,"(43.625381239, -72.517640791)",BEH,106BEH,166SSA,2GEN,8AGE,6RAC,1EDU,YTS09,9,1.0
8,8,2007,CT,Connecticut,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,13.0,,,1.7,9.6,16.4,2184.0,Overall,All Races,All Ages,Middle School,"(41.56266102, -72.649840952)",BEH,106BEH,166SSA,1GEN,8AGE,6RAC,1EDU,YTS08,8,2.0
9,9,2006,PA,Pennsylvania,Tobacco Use – Survey Data,Cigarette Use,Smoking Status,YTS,Ever,%,Percentage,42.4,,,2.6,37.3,47.5,826.0,Female,All Races,All Ages,High School,"(40.793730152, -77.860700294)",BEH,106BEH,166SSA,3GEN,8AGE,6RAC,2EDU,YTS08,8,2.0
